MOF	molecule	H	predict
LEGGEK	4-methyl-4-penten-2-one	65.59393667	65.69369683880828
GUFREF	isobutane	55.13932702	54.84673790397878
VACFUB01	2,3-dimethylbutane	50.26140982	50.44741496283656
PEMRIK	propionitrile	59.15579076	59.097450330834896
NADZEZ	propane	46.55591084	46.58631558520018
CIGYAU	acetaldehyde	41.06027797	41.13731180457609
PAKXIK	isopentane	52.97274446	52.66532807941642
PEGBUA	ethane	31.22738942	31.647728932033242
HOWPOZ	hydrogen cyanide	37.98737727	38.11385925954445
UKUBIM	neopentane	50.73770109	50.95614423985114
PASTOU	ethylamine	44.74164673	44.84989968893321
TESHAB	methyl propyl ketone	53.46298963	53.50918162852681
UNIGEE	dimethylamine	21.04661303	20.95765372598346
LAGCED	4,4-dimethyl-1-pentene	55.8351973	55.69593270393646
LAWGEW	ethane	15.13055544	15.144073250804453
TERFUT	propane	30.62003184	30.74896196319007
VUSKEA	methyl tert-butyl ether	27.26729399	27.120453685073024
SAKRED	4,4-dimethyl-1-pentene	51.72321206	51.81788844526386
PASTOU	2-pentene	61.43004278	61.21596437822785
ZISYAD	propyl alcohol	53.85466551	53.91656460244389
LAWGOG	isopropyl alcohol	26.69422572	26.625252047928537
FUNBIA	neopentane	40.93485511	41.56350334910644
SEHTEF	acetonitrile	58.99825556	59.2452074481828
SAMLAV03	4-methyl-4-penten-2-one	96.50570626	96.57934342895331
REGLOG	propyl alcohol	60.88762848	60.796884422003316
IXOFAD	methane	15.80423158	15.791546958349418
XUWVEQ	1,5-heptadiene	94.89215436	94.80920411693302
QOCRUW	methyl isopropyl ether	47.15477303	47.45627811403898
LELMIA01	isopropyl alcohol	70.26662209	70.16776884581557
QARTEK	acetone	54.818382299999996	54.54864069040343
SUKYIH	1,5-heptadiene	58.30409248	58.154109260417606
KIDDIM	propane	46.42928448	46.77081699643387
DEYDOA	ethane	30.31683597	30.35355966506811
IXOFEH	4,4-dimethyl-1-pentene	58.42963172	58.35150839346389
EBEMII	isopropyl alcohol	70.87460551	70.64601365337498
UKUBIM	2,3-dimethylbutane	61.360199300000005	61.695263373880785
DAGDIZ	isopropyl alcohol	64.86513879	65.11159959189663
IXISAJ	isopropyl alcohol	60.57603097	60.575123499139885
XEDPIH	acetaldehyde	44.94652189	44.95662007561448
BONWIL	propyl alcohol	66.36423325	66.32623765023445
RIFDUG01	hydrogen cyanide	29.26518872	29.285550146301595
ELAFUT	acetaldehyde	61.30269812	61.28788209488735
VACFOV01	acetaldehyde	40.28997495	40.3610635812068
IBUDOZ	propene	42.65463667	42.67932002668224
FAGREM	isobutane	39.72357268	40.00421973427928
WOWGEU	ethene	25.86664249	25.874498508989106
BUVYEX	acetonitrile	31.57217025	31.278277138186812
CANRUG	ethane	29.25205386	29.012248698473165
BIBBUL	1,5-heptadiene	26.16540282	26.183139085238825
YEGYIU	propane	-5.87632527	-5.78558784068262
COGWEB	isopentane	49.70739903	50.11149969550078
LEMNOH	acetaldehyde	28.36654743	28.303233559978448
ISEQIH	neopentane	59.63710148	59.69391608771314
NASCIV	propionitrile	41.10472173	41.061007283234865
KUNWEW	2,3-dimethylbutane	73.42815829	73.37322657840159
FEFCUQ	2,3-dimethylbutane	47.98000779	48.05698635237098
RUVMAX	methyl propyl ether	65.53572488	65.49928545014836
FIPXEJ	methane	23.69773388	23.724855953482678
FUSWIA	ethane	25.13400137	24.965265741488302
HABRIN	propionitrile	43.50121202	43.598394563665714
OFERUN02	methyl propyl ketone	44.26633815	44.30697222281451
LIFWOO	2-pentene	67.55659158	67.4293594817342
KAXQOR01	hydrogen cyanide	34.89361605	34.77519349268012
UXUZAP	methyl tert-butyl ether	54.01701916	53.906157489560584
LUVTEC	methyl propyl ketone	52.90550347	52.897272621007176
MAKXAZ	hydrogen cyanide	33.73001325	33.55429877562634
BENXUP	ethane	30.38041058	30.368422624117738
PUQXUV	neopentane	52.72461169	52.6072313341201
MIKJAR	propene	43.77092091	43.715351768020675
LELMIA01	4-hexen-2-one	90.09037997	89.98248541985761
VAHSIH	dimethylamine	67.52857029	67.42115803023827
NUTQAV	ethene	20.4875427	20.536589221621224
GOMRAC	hydrogen cyanide	44.52030863	44.55458617060959
NUTQAV	propene	28.27271945	28.350542147547912
RURPEA	dimethylamine	57.58223532	57.55489827684603
SUJREV	methane	20.97418085	21.06815355071331
