MOF	molecule	H	predict
LEGGEK	4-methyl-4-penten-2-one	65.59393667	65.69369683880832
GUFREF	isobutane	55.13932702	54.84673790397877
VACFUB01	2,3-dimethylbutane	50.26140982	50.44741496283657
PEMRIK	propionitrile	59.15579076	59.0974503308349
NADZEZ	propane	46.55591084	46.58631558520016
CIGYAU	acetaldehyde	41.06027797	41.13731180457612
PAKXIK	isopentane	52.97274446	52.6653280794164
PEGBUA	ethane	31.22738942	31.647728932033264
HOWPOZ	hydrogen cyanide	37.98737727	38.11385925954443
UKUBIM	neopentane	50.73770109	50.95614423985114
PASTOU	ethylamine	44.74164673	44.84989968893321
TESHAB	methyl propyl ketone	53.46298963	53.5091816285268
UNIGEE	dimethylamine	21.04661303	20.957653725983455
LAGCED	4,4-dimethyl-1-pentene	55.8351973	55.69593270393641
LAWGEW	ethane	15.13055544	15.144073250804428
TERFUT	propane	30.62003184	30.748961963190105
VUSKEA	methyl tert-butyl ether	27.26729399	27.120453685073038
SAKRED	4,4-dimethyl-1-pentene	51.72321206	51.81788844526385
PASTOU	2-pentene	61.43004278	61.2159643782278
ZISYAD	propyl alcohol	53.85466551	53.91656460244386
LAWGOG	isopropyl alcohol	26.69422572	26.62525204792853
FUNBIA	neopentane	40.93485511	41.563503349106455
SEHTEF	acetonitrile	58.99825556	59.24520744818281
SAMLAV03	4-methyl-4-penten-2-one	96.50570626	96.57934342895332
REGLOG	propyl alcohol	60.88762848	60.79688442200331
IXOFAD	methane	15.80423158	15.791546958349409
XUWVEQ	1,5-heptadiene	94.89215436	94.80920411693303
QOCRUW	methyl isopropyl ether	47.15477303	47.456278114039
LELMIA01	isopropyl alcohol	70.26662209	70.16776884581559
QARTEK	acetone	54.818382299999996	54.5486406904034
SUKYIH	1,5-heptadiene	58.30409248	58.15410926041761
KIDDIM	propane	46.42928448	46.77081699643384
DEYDOA	ethane	30.31683597	30.353559665068115
IXOFEH	4,4-dimethyl-1-pentene	58.42963172	58.35150839346389
EBEMII	isopropyl alcohol	70.87460551	70.64601365337498
UKUBIM	2,3-dimethylbutane	61.360199300000005	61.69526337388079
DAGDIZ	isopropyl alcohol	64.86513879	65.11159959189659
IXISAJ	isopropyl alcohol	60.57603097	60.57512349913988
XEDPIH	acetaldehyde	44.94652189	44.9566200756145
BONWIL	propyl alcohol	66.36423325	66.32623765023452
RIFDUG01	hydrogen cyanide	29.26518872	29.28555014630161
