MOF	molecule	K	predict
HUHJAW	acetaldehyde	1.04e-05	1.0247773990348298e-05
IYUJAO	methane	2.3199999999999998e-05	2.383436164218899e-05
RAXDAX	acetone	1.7600000000000002e-15	1.7247983149124757e-15
GALCED	isobutane	0.022125799999999998	0.02180384627373752
ZERNAN	isopentane	4.41e-06	4.655679905901271e-06
AVEMOE	ethane	1.1e-15	1.1105048333598496e-15
AMIKOX	ethane	2.1899999999999998e-13	2.2464526482916233e-13
BERGAI	ethylamine	0.136694	0.13914801572377694
NEVJEF	4-methyl-1-hexene	32.1357	32.9701343477615
RIVDEF	acetonitrile	0.000112731	0.00011144752922351169
SAHYOQ03	methyl isopropyl ether	0.000312149	0.00031736753017426716
HEZKIH	dimethylamine	0.11505	0.11073319820457694
XUVHEB	isobutane	0.163676	0.17135751401857496
RURPEA	methyl propyl ketone	1.57e-06	1.5472912074407927e-06
PEVPUD	4,4-dimethyl-1-pentene	0.00112255	0.0010611307409611344
MADWAQ	dimethylamine	0.020319999999999998	0.020254494142518058
QEVKOS	3-methylpentane	0.357327	0.3570262729925285
WALBOC01	methyl propyl ether	0.00017658299999999999	0.00015793644268992932
REYCOP	1,5-heptadiene	2.9900000000000003e-16	2.9723660623434204e-16
EBEMEF	ethane	2.7300000000000003e-05	2.7852206534551946e-05
FIPWUY	hydrogen cyanide	0.00301111	0.0030120116193843296
TADCAE	4-hexen-2-one	2.3600000000000002e-07	2.4742245075512206e-07
KINKAV	3-methylpentane	0.20305499999999999	0.19408089356021713
RAXDAX	acetonitrile	6.92e-05	6.51700046210571e-05
QOMDUS	methyl propyl ketone	0.25071	0.26203290294275816
XINHOT	hydrogen cyanide	8.41e-05	8.315094635818256e-05
IBICAZ	neopentane	0.00335696	0.0032241371369016113
XUGSEY	dimethyl ether	1.33637	1.2828860711740309
FIPWUY	dimethyl ether	0.21153200000000003	0.20636866899866063
RELLAW	methane	1.25e-05	1.1921259872610664e-05
SERJUV	methyl propyl ether	0.008887799999999998	0.008796854802182995
PUQXUV	4-hexen-2-one	18.7746	20.311734997342896
TEVZIE	propane	0.00067224	0.000656867824615626
QUNMUI	ethane	3.28e-05	3.287245095573502e-05
WIYFAM	1,5-heptadiene	0.05502130000000001	0.055931591782265186
ISEQIH	1,5-heptadiene	3759.4	3728.770186966114
ICANEH	3-methylpentane	617.707	600.4602371670342
FIGXAW	hydrogen cyanide	0.00136615	0.0013971002539985165
RIPNIP	acetonitrile	0.00195791	0.002083718175444677
LEGGEK	ethylamine	689.944	638.7840292668111
KEWZOD	isopropyl alcohol	0.0766187	0.08243150971197323
ICANEH	isopentane	21.0413	20.225341532511674
GAYFOD	propene	0.00492347	0.004968760861470566
RURQEB	isobutane	3.4500000000000005e-08	3.4557069634204744e-08
UXEQOE	methyl propyl ketone	642.2869999999999	638.9351601382149
ULOGIL	isopropyl alcohol	1.56e-10	1.5386707643129238e-10
WENDIE	2,3-dimethylbutane	3.02e-10	3.4756092148393157e-10
XINHOT	ethylamine	0.0168016	0.01733582640878627
MUVGOA	neopentane	0.00575478	0.005190088960529466
QOJVAM	isobutane	0.000458642	0.00044555316246269494
MOGVAG	dimethylamine	0.08107639999999999	0.07999508186891019
OJICUG	ethene	2.1e-05	2.108532694258265e-05
ZISYAD	methyl isopropyl ether	8.993269999999999	8.956118433232717
KAXQIL	methyl propyl ether	372.074	372.6857433657016
YARYEV	hydrogen cyanide	0.000154034	0.00015461069524071776
OTAVOV	isopentane	0.0030632	0.003171906187758299
JIVFUQ	dimethylamine	0.017544499999999998	0.017881848395067273
UNIGEE	2-pentene	0.000449471	0.0004391109082072365
DEYLUQ	methyl tert-butyl ether	11.4139	11.426781512193738
RUMWUS	4-hexen-2-one	555056.0	550752.6311721863
GUYLUI	dimethylamine	0.0216918	0.02258745725041334
MOGVAG	acetone	0.355657	0.3441053939704665
QEVKOS	propane	0.00238018	0.0028859120453225426
OSAXAI	hydrogen cyanide	0.000391872	0.00036881333570127977
UVUPOR	ethylamine	0.005889899999999999	0.005878257525917374
XUNGUJ	acetaldehyde	0.00987832	0.009834030428628581
TADCAE	methane	2e-05	1.9446047390733898e-05
IBIDAA	4-methyl-1-hexene	0.138791	0.13966776140597612
RUCGOM	ethylamine	0.291864	0.28541546910923443
LASYOU	acetonitrile	0.0005491259999999999	0.0005628865482685119
PIFPIE	dimethylamine	0.00630387	0.0064540930711513905
QARTEK	ethene	5.56e-05	5.541797059633691e-05
KOMHAW	4-methyl-1-hexene	1.57e-14	1.5718942406042753e-14
JAVNIE	1,5-heptadiene	5.10295	5.177445466134478
VACFUB01	4-hexen-2-one	2.27835	2.3246960654986095
SENWAL	methyl propyl ether	0.000645184	0.0006435007798643073
DEYDOA	isopropyl alcohol	0.00167881	0.0016019729573372938
EKOPOK	isopropyl alcohol	479380.0	459795.88966116955
BAEDTA01	ethene	0.000352484	0.00035430553975781366
EBEMII	isopentane	0.00324332	0.0034164827892121633
MIMVEJ	propionitrile	0.709307	0.6792727211798731
MIBQAR16	propane	5.28e-05	5.378167003278083e-05
FUNBIA	acetaldehyde	0.039951099999999996	0.038029007665998885
APEBED	methyl isopropyl ether	1.08031	0.996881250220524
ERUFUS	isopropyl alcohol	0.00017544900000000002	0.0001826738924564378
YAZFOW	methyl propyl ketone	3.1695	3.228890909609754
WONZUV	isobutane	0.00129493	0.001386658696958366
IQUNAJ01	propyl alcohol	7.53e-13	7.301592792478884e-13
CUMDIY	4-methyl-1-hexene	74.3115	74.97683431571252
XUNGUJ	methyl isopropyl ether	0.08754760000000002	0.08786544848451983
VONBIK	isobutane	0.0880642	0.07970282412895903
QUVDUH	dimethyl ether	2.22293	2.113361840228267
TASXIW	methyl tert-butyl ether	0.50353	0.5287873345302173
TESGOO	4-hexen-2-one	0.000818845	0.0008110058824210285
FIRVEH	dimethyl ether	0.00252254	0.0024952321186688864
HEGJUZ	dimethyl ether	0.00741481	0.007603582972153899
IXUREZ	4-hexen-2-one	2323.42	2313.950567387815
KAVROQ	acetone	0.108299	0.11069090355230361
FIPXEJ	isopentane	0.00218494	0.0020296212438172764
LOQLEJ	methane	2.08e-05	2.0661513389834948e-05
DEYVUA	methyl tert-butyl ether	0.0373105	0.03552715779109517
JIVFUQ	isobutane	0.039993	0.03613693281118648
VAPFUP	ethene	0.000344585	0.00033341406806274053
NIRDOI	hydrogen cyanide	1.87e-05	1.9586277090444866e-05
QARTEK	propane	0.0009164689999999999	0.0009547642205254082
NOCKUM	4,4-dimethyl-1-pentene	57.0936	55.89501402947976
OSAXAI	propane	1.55e-05	1.4373828361975721e-05
XENKIM	isopropyl alcohol	1.02683	1.0301777521710256
TETZID	isobutane	0.0334723	0.0344319899862183
IMACZN01	acetone	0.006203800000000001	0.005990045144180033
TESGUU	methyl propyl ketone	3.06e-05	2.9630075446063164e-05
XAMDUM07	methane	1.51e-05	1.5122336738421493e-05
WEMNAF	4,4-dimethyl-1-pentene	0.0007394239999999999	0.0007941134315500522
TESHAB	neopentane	7.94e-09	8.622572741594052e-09
GIZJOP	isobutane	0.0182	0.017992374803152522
HOWPOZ	methyl isopropyl ether	0.8388399999999999	0.8757699854400525
AVIMOI	propionitrile	30.059	24.986449065007022
EZUCIM	ethene	0.000205087	0.0002043083182770984
QOKCID	propyl alcohol	0.162205	0.16743579106339795
HEKTUO	1,5-heptadiene	0.00977486	0.009882011909180359
MODNIC	methyl isopropyl ether	0.000338582	0.0003417105294289966
RAXCOK	hydrogen cyanide	0.000272058	0.0002891797525248627
LAVSUY	acetone	0.323745	0.3373671100355887
QIFLUO	methyl tert-butyl ether	1.1299999999999999e-08	1.1176997219988752e-08
QOMDUS	2-pentene	0.675825	0.6525769500692091
HEXNII	dimethyl ether	0.00180052	0.0018567513792128304
YARYEV	1,5-heptadiene	0.000159534	0.00016021291760850076
ICANAD	propene	0.00532122	0.005737205020090248
ANUGIA	3-methylpentane	0.03527380000000001	0.03440934810959858
XADGAM	methyl tert-butyl ether	0.191397	0.1966313226235901
HAZNON	ethene	0.0009208710000000001	0.0009568737429788554
FUNBOG	neopentane	0.00023411799999999998	0.0002503422508983568
XEXLOD	2-pentene	0.0139286	0.01555325119208827
GUFREF	propionitrile	0.7990619999999999	0.8207542662781879
XAWZOM	1,5-heptadiene	5.81e-14	5.713426466470093e-14
HIFTOG	4-methyl-4-penten-2-one	1.1035700000000002	1.0795135536928049
TECTUS	methyl propyl ether	0.719312	0.7361167896726653
XINJAH	4-hexen-2-one	279.052	273.47279229177406
ICANAD	acetone	0.324552	0.3181031108923913
XADGAM	2,3-dimethylbutane	291.373	242.98309386461065
JIVFUQ	1,5-heptadiene	27.2675	28.20136049517203
KAXQIL	hydrogen cyanide	0.00131257	0.00136130846376223
GIFKIP	propane	0.000746974	0.0008020194603598243
WALBOC02	isobutane	5.04e-13	5.059649393114636e-13
EDADIX	isopentane	0.017162	0.02116949471660864
OJICUG	isopropyl alcohol	1.15523	1.102971311520663
UXEQOE	propane	0.056626800000000005	0.05838382214958965
HIFTOG01	isopropyl alcohol	3.19e-05	3.3287205772852515e-05
LAVSUY	4-hexen-2-one	554.714	571.1365566160606
RIFDUG01	hydrogen cyanide	0.000189378	0.0001907185482378496
AGARUW	4-methyl-1-hexene	156.974	154.6686170465193
BAEDTA01	methyl tert-butyl ether	0.00016963900000000002	0.00016956258039435443
AHOKIR01	ethylamine	0.000255007	0.0002487239010156233
AVIMOI	1,5-heptadiene	355.031	363.9072580437619
YUGLES	ethylamine	0.000811075	0.0008162673851882847
MIBQAR	methyl isopropyl ether	0.000310487	0.0003182100107011888
OFERUN02	isopentane	0.00875347	0.009342948222093691
SUJQOE	methyl propyl ketone	7.17e-16	7.119464008584801e-16
TADCAE	propane	0.00434809	0.004591188075070643
ZERNAN	methane	3.51e-06	3.484525309428794e-06
UVUPOR	hydrogen cyanide	0.000336708	0.0003204136904230272
ODIXEG	isopropyl alcohol	0.00142544	0.0013741819335847212
ATOXEN	methyl tert-butyl ether	1.56e-09	1.512791896368832e-09
GEHSAN	propane	0.0103469	0.010865818351205928
OHAKIS	4-hexen-2-one	24200.7	25749.978202698392
PEVPUD	2-pentene	0.000264036	0.0002623478374138267
CUMDIY	acetone	1.0329899999999999	1.0327486577750558
BETGAK	4-methyl-1-hexene	14.7444	14.11262577785131
TECTUS	4,4-dimethyl-1-pentene	761.186	743.2216429911377
UNIGEE	methyl propyl ketone	3.01e-05	3.108113531729996e-05
VACFUB01	2,3-dimethylbutane	1.02525	1.0539732323381361
RATDAS02	propane	0.00061781	0.0006002405033545392
REDROI	3-methylpentane	0.000164566	0.000148615003003277
ECAHAT	isopentane	0.00268752	0.0025871363750794908
REYCOP	ethane	1.84e-06	1.8025491155610506e-06
VARRIP	3-methylpentane	0.00151142	0.0014856306250386202
GIMSIG	propane	0.00184362	0.0018187966463542138
IXOFAD	methyl propyl ether	0.0711279	0.07416654145015085
GAYFUJ	isopropyl alcohol	0.00246949	0.0024727528505477155
VONBIK	4,4-dimethyl-1-pentene	34.8167	31.421139613985716
SENWAL	4-hexen-2-one	1.15785	1.1262885506972438
GOMRAC	methyl isopropyl ether	157053.0	154305.37527389696
LIFWOO	methyl isopropyl ether	0.601775	0.6363596319064766
IJENER	4-methyl-1-hexene	13581.2	13264.21165856294
CESYEF01	propene	0.0010367	0.0010937497952700746
NIRDOI	ethylamine	8.41e-07	8.453281439854509e-07
KUNWEW	isobutane	0.045192	0.04343178363646254
MADVUJ	3-methylpentane	0.189835	0.17595617799838886
DIDDOK	acetaldehyde	0.00031702099999999996	0.00032161268264879023
OJICUG	methyl propyl ketone	0.00475384	0.004692357520374201
KANDIO	propene	0.00148299	0.001560219360798363
ISEQIH	4,4-dimethyl-1-pentene	106.712	107.07864425902653
IXODUV	acetaldehyde	0.00060668	0.000636913733648462
FIJCUX01	methyl propyl ether	0.053943	0.050153058105363815
YAZFOW	dimethyl ether	0.00767097	0.00771068449865714
TEDGOA	ethane	4.28e-05	4.348552257282226e-05
ZISYAD	propyl alcohol	0.06718860000000001	0.06723897467475634
VASKOR	3-methylpentane	1.53e-07	1.4754701477346339e-07
YUBFOR	acetone	0.00601976	0.0058219537451563155
YARYEV	acetone	0.0019083	0.001970713981234772
QOMFAA	methane	2.6899999999999997e-05	2.7649737754369e-05
ANUGIA	isopentane	0.00669752	0.006900547009669129
LAWGUM	acetone	0.000348871	0.0003352346392349396
LOQLEJ	ethylamine	0.0153227	0.015334168292542071
NEVJEF	propionitrile	0.137988	0.12465817827398504
IBICAZ	dimethylamine	0.000459269	0.0004518425205928751
MATTUX	isobutane	0.0341835	0.03306638607413314
GOMREG	methyl propyl ketone	14147500.0	14373114.01883257
TASXIW	propane	0.00218747	0.002123552939364974
GAYFUJ	4-hexen-2-one	29.7595	29.01493464159304
ACOLIP	propyl alcohol	0.143214	0.12359351341928031
PORVUO	2,3-dimethylbutane	0.0433394	0.041191838925826604
WONZOP	dimethylamine	0.00057635	0.0005645661036838962
LELMIA01	methyl tert-butyl ether	14.6236	14.318791874153337
NAKLIW	propionitrile	0.0136428	0.014757741306682996
SEFSOM	methyl propyl ketone	0.07849049999999999	0.08101525007276447
AMILUE	propane	0.00946997	0.009022752718344207
FEZREJ	propionitrile	630.705	601.5048842453447
BALMUW01	methane	2.45e-07	2.459915219881739e-07
NADZEZ	1,5-heptadiene	0.179393	0.18525900271898088
SAKRED	dimethyl ether	0.00034178800000000004	0.0003412523633355227
EKOPOK	1,5-heptadiene	6525.9	6197.092377630789
KAXQIL	2-pentene	482.501	442.15143746293825
DEYDOA	isopentane	0.00282782	0.0030346741574895303
VEJYUF02	1,5-heptadiene	1.29e-12	1.296324425659104e-12
RAXCOK	methane	1.01e-05	1.0028470204887323e-05
ESEVIH	2-pentene	1.51985	1.4824563441682233
HIFVOI	methyl propyl ketone	0.05270840000000001	0.049921424019229915
FAPTOH	4-methyl-4-penten-2-one	32.8567	33.40558171865319
UBACUX	3-methylpentane	1.58446	1.4607778319020943
CANRUG	hydrogen cyanide	0.00034148	0.0003201270821038997
FIRVEH	methyl isopropyl ether	1.84e-05	1.9449854568558864e-05
FAKLOU	methyl tert-butyl ether	0.06386180000000001	0.0638536950381466
UNIGEE	dimethylamine	6.409999999999999e-05	6.224035594992847e-05
BICDAU	2,3-dimethylbutane	0.019425599999999998	0.01878299273785014
ZEDROR	4,4-dimethyl-1-pentene	2.7399999999999996e-09	2.691078931159067e-09
FEFCUQ	3-methylpentane	0.179572	0.18377071301741676
LAVSUY	methyl tert-butyl ether	27.9962	28.1361836590728
FUNBEW	methyl tert-butyl ether	0.00387113	0.003600770230526156
BARZAW	4-hexen-2-one	89.9546	93.31350532597163
YARKEJ	4-methyl-1-hexene	6.81429	6.676911636226169
MIHHOA	isobutane	0.470261	0.4556318531213071
FIPWOS	neopentane	5.7099999999999995e-11	5.947024579046419e-11
CUHPUR	dimethyl ether	0.00158794	0.0015722420864454148
SEYDUW	methyl propyl ether	1.89e-08	1.713584358109574e-08
GUFREF	3-methylpentane	0.000726835	0.0007221827404683143
EMITUQ	neopentane	0.127833	0.11287538792671885
XIMPOA	acetone	4.03e-10	3.9142391981596195e-10
FERHAN	4-methyl-4-penten-2-one	0.744631	0.7206975139742221
MOCKEV	isopropyl alcohol	0.0168128	0.017404113691494295
UTEXAT	ethane	0.000417483	0.00042934173519373366
MIKJAR	acetonitrile	6.387580000000001	6.514769975367285
DOQGUM	acetaldehyde	0.0593168	0.06055248575469373
AHOKIR01	methyl propyl ether	7.22e-10	7.189501930153388e-10
IYUJAO	4-methyl-1-hexene	44.2865	42.86230002985545
CEGDUO	acetone	0.00116218	0.001145543783628486
FEWGUL	propyl alcohol	0.0588745	0.06351843548845351
RIFDUG01	1,5-heptadiene	0.176832	0.18043176741703695
WENDIE	4-methyl-4-penten-2-one	0.72378	0.7520575939727286
