MOF	molecule	K	predict
UBACOR	2-pentene	1.17345	2.358884470068979
OFUYUL	dimethylamine	0.00988708	0.023129379205419562
QUJFUX	propene	2.35e-06	2.4116043347193014e-06
IMACZN01	methane	7.62e-06	6.7299642042566375e-06
NOCKUM	4,4-dimethyl-1-pentene	57.0936	33.39687557704617
XINWUO	acetonitrile	7.77e-05	0.00024291601202517264
WALBOC01	ethene	0.000123056	8.630944843694471e-05
WALBOC01	acetaldehyde	0.00123069	0.001918570266972717
RUFMUA01	propyl alcohol	0.00443662	0.0013642355964081931
LAWGEW	methyl tert-butyl ether	0.000568354	0.00047647773668296533
YARYEV	propionitrile	0.00202602	0.0011079748761901817
PAMVEG	methyl propyl ketone	0.00043072300000000004	0.00034703134450052585
IMACZN01	4-methyl-4-penten-2-one	8.949999999999999e-12	1.8713494560187968e-10
SAMLAV02	4-hexen-2-one	486.164	315.3220577020475
WALBOC01	propyl alcohol	5.16e-05	4.463676658786296e-05
FEZREJ	isobutane	0.0111476	0.04626809127649029
YUKBIP01	ethylamine	0.00345931	0.003311299255730258
DEYDOA	dimethyl ether	0.00825916	0.008443083050358176
VUQKUO	methane	3.98e-06	4.7892536607985455e-06
IXOFAD	dimethylamine	0.00245591	0.002018998486381493
SEYDUW	propionitrile	1.32e-05	7.200184060963053e-05
IXODUV	hydrogen cyanide	6.0899999999999996e-05	9.034574715041978e-05
QOMDUS	propene	0.00252334	0.0021457530903150708
TEVZOK	isopropyl alcohol	0.00195345	0.002620114163930096
GULPIN	dimethyl ether	0.00886897	0.016424258230152134
OTAVOV	4-methyl-4-penten-2-one	0.07011339999999999	0.0833973590268384
UVUPOR	3-methylpentane	6.71099	5.802093854847129
GALCED	propionitrile	0.00967971	0.07374627822543377
SAHYOQ04	1,5-heptadiene	0.00383398	0.004395268165060655
FAKLOU	methane	8.02e-06	7.746688092670585e-06
VONBIK	ethane	0.00029167	0.0005107156256151338
DUXZIG01	methyl isopropyl ether	0.000549021	0.0002959818768315146
QESYOD	propyl alcohol	0.000199971	0.0011032280682713009
SAHYOQ05	isopropyl alcohol	3.63e-05	3.955928808001919e-05
XEQRAO	4-methyl-4-penten-2-one	78.3411	33.80487208954592
CUNWEO	propionitrile	13.5138	1.2422288268055444
KAXQIL	propionitrile	1.56985	3.576873137699523
FEFCUQ	4-methyl-1-hexene	0.743522	0.5027475146063564
GIMVAA	hydrogen cyanide	3.88e-07	7.445127115591364e-07
QAVWAN	isopropyl alcohol	0.024689700000000002	0.0593513192620353
OHOLIH	3-methylpentane	92.8519	10.602374982982242
RUVMAX	3-methylpentane	1.0582200000000002	0.30584935069459046
FIGXAW	ethylamine	0.150792	0.048168073718297025
FUTKEL	isopropyl alcohol	0.08676569999999999	0.0800637957252263
CESYEF	1,5-heptadiene	17.1744	9.65370518604979
RIVDEF	acetonitrile	0.000112731	0.0004370119936139328
GACQAE	ethylamine	0.00112318	0.0016897352428681552
SAHYOQ04	propionitrile	0.00011514	0.00013560391623595783
VEJYUF01	dimethylamine	0.00693383	0.0012841148261079926
XAMDUM07	4,4-dimethyl-1-pentene	0.0908429	0.03866278586163102
NUTQEZ	methane	8.55e-06	7.771970578147807e-06
FAPTOH	methyl propyl ketone	0.153667	0.2680889611883557
LELMIA01	2,3-dimethylbutane	104.741	198.05694636634334
IBUDOZ	propane	0.00870849	0.0034084312873224817
NOCKUM	propyl alcohol	28.9379	0.3188608432749396
SERKEG	ethylamine	0.000416779	0.0004187829542913062
HEGJUZ	methyl isopropyl ether	1.13992	0.8361721861922639
WALBOC02	dimethyl ether	0.00222189	0.0019335802778284433
EZABEN	4-hexen-2-one	600.619	94.04351714748147
ZERNAN	acetonitrile	0.0123334	0.003212437556973072
QOMFAA	2,3-dimethylbutane	0.254855	0.4195730873929512
BETGAK	acetaldehyde	0.0324521	0.02810957919794324
LELMIA01	dimethylamine	0.0132051	0.04515918593575076
YUBFOR	hydrogen cyanide	2.49e-05	5.4616258377832015e-05
DIDDOK	3-methylpentane	0.00721318	0.0067201018615694235
YUBFOR	methane	7.07e-06	6.088570636934023e-06
YEZFIU	methyl propyl ketone	0.00260085	0.006403206899247699
SAMLAV02	4-methyl-4-penten-2-one	335.968	176.09168687125776
GAYFUJ	ethene	7.159999999999999e-05	2.5997119554638025e-05
QUQPIC	ethylamine	0.00078075	0.00019478091093674132
IBICED	propyl alcohol	0.0005505390000000001	0.0006796010718335404
