MOF	molecule	K	predict
XUNGUJ	4-hexen-2-one	133.264	127.96397874247141
PIHNUQ	dimethylamine	0.00654967	0.0062556785311494115
FIJCUX	ethane	0.000127526	0.00012877741296405366
MADWAQ	propene	0.0045566	0.004243275728850258
YEZFIU	acetaldehyde	0.00335008	0.0032827017769962216
ILOJEZ	2-pentene	0.7416149999999999	0.8317853399811427
LAWGUM	4-methyl-4-penten-2-one	0.00307074	0.0030024006348642863
ZEDROR	2,3-dimethylbutane	2.8600000000000005e-09	3.0616328085331972e-09
BOWQAG	dimethylamine	1.92e-09	1.857732767154974e-09
NEVJEF	4-methyl-4-penten-2-one	91.4497	93.21972770507118
NUTQAV	2-pentene	0.00802486	0.007514173374637298
TASXIW	dimethyl ether	0.00718734	0.006574404946176182
GUYLUI	ethene	0.000266305	0.00026450470404440523
PAPXUB	propene	0.00556049	0.0055366936354221625
RAXCOK	methyl propyl ketone	0.058121500000000006	0.05710954580232761
ISEQIH	4-hexen-2-one	1720690000.0	1656767025.439692
HOWPOZ	propionitrile	0.337812	0.3302702761140759
XINWUO	4-methyl-1-hexene	0.146103	0.142594059696994
FEWGUL	acetone	5.09919	4.613386112591955
GINLIA	ethane	0.00019202	0.00018720011761449106
ECODEG	acetone	0.672888	0.6845303661638973
FUNCAT	isopropyl alcohol	0.00489297	0.005127813548323266
FAGREM	isobutane	0.016262600000000002	0.01731845056194988
MAKXAZ	ethylamine	0.068406	0.07482678489517908
WEMNAF	4,4-dimethyl-1-pentene	0.0007394239999999999	0.0007210194427380543
BIBBUL	ethene	3.09e-07	3.0097285514753795e-07
XUVHEB	propionitrile	0.0374418	0.04001536070549559
XEDPIH	acetonitrile	0.027146299999999998	0.027357184895620414
PAKXIK	dimethyl ether	0.00560994	0.005962489419181904
PEMRIK	propane	0.020962	0.0189860059558434
IXOFIL	3-methylpentane	4.15325	4.319401529200852
UTEWOG	methyl isopropyl ether	0.23034000000000002	0.22693746734510964
TASXIW	isopropyl alcohol	0.035212	0.03380062436473555
SEYDUW	isopentane	2.58e-15	2.633220714819546e-15
XAWVUN	hydrogen cyanide	6.11e-05	6.099877117058418e-05
PEGBUA	2-pentene	3.5700000000000003e-07	3.9941441040163746e-07
PAKXIK	4-methyl-1-hexene	0.7212029999999999	0.7106468783784605
XEXLOD	dimethyl ether	0.00141978	0.0014254185797170325
GIMSIG	dimethylamine	0.00285479	0.0028443108712844145
PASTOU	methyl tert-butyl ether	2.06514	2.004715726811222
XEDPIH	1,5-heptadiene	7298.5	7547.11261441309
IXOFIL	isopropyl alcohol	0.00429462	0.004095731385749434
NEVJEF	methyl propyl ketone	0.306506	0.3163648361444993
GAYFOD	acetonitrile	0.00208169	0.0020815460262379334
KEWZOD	2,3-dimethylbutane	0.6692239999999999	0.6795412073869828
CISMAT01	4,4-dimethyl-1-pentene	1.0199999999999999e-12	1.0381272299709027e-12
AHOKIR01	2-pentene	1.46e-10	1.3663109696708651e-10
UVASAM	acetonitrile	0.0320151	0.032015034110681524
XUWVEQ	methyl isopropyl ether	8.29e-07	8.727709761933495e-07
SENWIT	3-methylpentane	0.0110689	0.0113937769137369
YEGCUJ	neopentane	0.00022846	0.00023490512301825226
QOKCID	isopropyl alcohol	0.22477600000000003	0.22600407778130652
AHOKIR01	4-methyl-4-penten-2-one	1.97e-11	1.9465398583275505e-11
TEVZEA	dimethylamine	0.00285708	0.0027928913347625233
RUFMUA	isopropyl alcohol	0.000235614	0.00023905184697054985
