MOF	molecule	H	predict
EZUCIM	isopropyl alcohol	66.29930696	66.31626547655793
OFORUX	propionitrile	43.78429068	43.851412079723545
SEYDUW	dimethyl ether	34.65729866	34.70647045746202
OSAXAI	propionitrile	56.39230288	56.250130492332524
KIDDIM	methane	22.24389917	22.263729537168444
FECZAQ	4-methyl-1-hexene	55.68545951	55.754819641381964
LAGCED	4-methyl-4-penten-2-one	67.64996427	67.60692041909162
QESYOD	ethylamine	42.21446074	42.16669376623449
DEYLUQ	propene	35.62540437	35.6359390189849
CUHPUR	acetaldehyde	40.00039679	39.97521745839033
XIDBUJ	4,4-dimethyl-1-pentene	63.44494514	63.412985467564866
NUTQEZ	hydrogen cyanide	20.75614075	20.646413410812585
PAPXUB	propyl alcohol	61.09207541	61.18844104964029
ATOXEN	acetaldehyde	43.080620700000004	43.27110160395373
QOMFAA	propane	43.04360032	43.126329123361906
QOMFAA	ethylamine	59.79317399	59.78509856507626
VAPFUP	isobutane	61.80879503	61.6854246371174
PEMRIK	isobutane	52.75076423	52.676636230400625
SEFSOM	3-methylpentane	60.29229948	60.30484024771464
ELAFUT	ethane	35.13103534	35.142710098554346
IXODUV	2-pentene	44.53510889	44.383193553437096
QOJVAM	acetonitrile	40.4177484	40.37247328282094
OFERUN02	4-methyl-4-penten-2-one	46.09519903	46.113265395361964
VEJYUF01	2-pentene	46.86767419	46.889477429870006
UMEXUF	isobutane	49.54564262	49.40796723454046
PUQXUV	ethene	39.31446648	39.28622742086754
WONZUV	4,4-dimethyl-1-pentene	45.26805988	45.21418691462626
QURSEC	acetone	69.70818305	69.7365531616651
ICANEH	ethene	30.35187964	30.285629737519034
UTEWOG	acetonitrile	35.22433847	35.24660189172567
GUYMAP	3-methylpentane	54.11232387	54.08594242879204
HIFVOI	3-methylpentane	39.54064382	39.57321662888121
CISMAT01	2-pentene	65.44911816	65.33134937655831
WONZOP	propene	21.77288116	21.760574549684048
SEFBOV	ethane	21.31759489	21.156721897284715
MIKJAR	neopentane	67.93079128	67.91936510205613
OHAKIS	3-methylpentane	83.08190089	83.0051018153812
SEHTEF	methyl propyl ether	45.37180107	45.33472653560884
FECWOB01	methyl isopropyl ether	49.08719433	49.12223090478681
NAKLIW	4-methyl-1-hexene	77.1689657	77.28124839602158
FUNBIA	acetonitrile	53.95188501	53.800286069200176
