MOF	molecule	H	H_predict
ABUWOJ	hydrogen cyanide	27.23844181	26.521651202326773
ABUWOJ	ethene	28.34644071	26.97461376422067
ABUWOJ	ethane	31.33830096	29.973601919250076
ABUWOJ	acetonitrile	37.60197557	39.83521671633492
ABUWOJ	acetaldehyde	38.43302722	41.44344718527519
ABUWOJ	propene	39.41206159	37.970257323290724
ABUWOJ	dimethyl ether	39.4684781	41.454792709711235
ABUWOJ	ethylamine	43.75969421	44.088508373680405
ABUWOJ	propionitrile	44.8329008	47.07253245737249
ABUWOJ	dimethylamine	44.83349525	44.463096082783274
ABUWOJ	isobutane	49.33372545	48.99889119130133
ABUWOJ	isopropyl alcohol	51.36179923	51.54932801435728
ABUWOJ	acetone	52.54882685	54.58405690428161
ABUWOJ	propyl alcohol	54.51803214	52.990396772057686
ABUWOJ	methyl isopropyl ether	56.79663823	58.185926463179555
ABUWOJ	methyl tert-butyl ether	57.37648537	59.57337717915141
ABUWOJ	methyl propyl ether	59.14269078	54.95113807947483
ABUWOJ	2,3-dimethylbutane	60.75508586	63.98378351215185
ABUWOJ	2-pentene	60.78526194	58.35316821418953
ABUWOJ	4,4-dimethyl-1-pentene	68.59476748	68.12064272316768
ABUWOJ	3-methylpentane	68.69421913	67.71005587621212
ABUWOJ	methyl propyl ketone	76.18674448	76.32391635193825
ABUWOJ	4-methyl-1-hexene	76.55002145	76.21194557160122
ABUWOJ	1,5-heptadiene	79.290559	74.8946953821191
ABUWOJ	4-methyl-4-penten-2-one	81.10162528	80.62702353479278
ACOLIP	methane	21.453558800000003	20.818310479424483
ACOLIP	4,4-dimethyl-1-pentene	23.64081756	31.136674742429616
ACOLIP	neopentane	27.16667225	32.238316745506104
ACOLIP	ethene	29.7331548	29.479845287358653
ACOLIP	ethane	32.48334769	34.35865221480682
ACOLIP	methyl tert-butyl ether	35.50481806	37.95924475769563
ACOLIP	hydrogen cyanide	38.19625029	37.125834183332636
ACOLIP	propane	42.2569534	44.241433286627874
ACOLIP	dimethyl ether	43.88930875	46.874014322213256
ACOLIP	acetonitrile	46.87467844	51.07646147818969
ACOLIP	isobutane	46.90602258	45.76536918084522
ACOLIP	acetaldehyde	50.92286769	51.31016661298956
ACOLIP	2,3-dimethylbutane	52.49142833	47.721817384161774
ACOLIP	propionitrile	54.92376941	58.487845732149225
ACOLIP	ethylamine	55.57238709	55.14655523762159
ACOLIP	methyl isopropyl ether	56.92180119	57.71386538934948
ACOLIP	isopentane	57.48064019	50.60812645817142
ACOLIP	dimethylamine	58.6131557	54.46606118627164
ACOLIP	methyl propyl ether	59.46537184	56.061162691177366
ACOLIP	acetone	59.93923042	61.517374302843
ACOLIP	3-methylpentane	59.95617612	58.53878663990106
ACOLIP	2-pentene	60.341983	57.12841730163671
ACOLIP	isopropyl alcohol	63.17050753	62.80166645654651
ACOLIP	4-methyl-1-hexene	63.59781444	61.33924548280351
ACOLIP	methyl propyl ketone	69.41793124	72.02626727358265
ACOLIP	propyl alcohol	69.81875026	65.11497598787969
ACOLIP	4-methyl-4-penten-2-one	72.01708575	71.9978711773527
AFITIT	methane	18.608567800000003	19.217992626743413
AFITIT	ethene	26.88611407	27.208892991513352
AFITIT	ethane	30.11791012	29.79383469503649
AFITIT	hydrogen cyanide	31.31451165	33.88290510972791
AFITIT	acetonitrile	44.93623539	48.67259479009207
AFITIT	acetaldehyde	45.03940726	46.51934798220739
AFITIT	dimethylamine	47.149588200000004	48.25451560823537
AFITIT	ethylamine	48.41135977	49.761166733337056
AFITIT	isobutane	49.69558829	48.346083125755605
AFITIT	propionitrile	53.50833174	54.18515831756756
AFITIT	neopentane	53.63649877	51.915467806392066
AFITIT	methyl propyl ether	55.17934485	55.8604557273656
AFITIT	acetone	56.470979099999994	57.155804882629056
AFITIT	2-pentene	57.90422244	55.69120654749159
AFITIT	isopentane	58.18558118	57.16130459738766
AFITIT	isopropyl alcohol	60.47924258	61.134701133485464
AFITIT	methyl isopropyl ether	61.24789148	58.180430652742864
AFITIT	propyl alcohol	61.90925894	61.82495305304799
AFITIT	2,3-dimethylbutane	62.94486939	64.12529266550021
AFITIT	methyl tert-butyl ether	63.34278689	63.81637476861368
AFITIT	4,4-dimethyl-1-pentene	67.89317109999999	66.93413635839494
AFITIT	4-methyl-1-hexene	72.3483536	70.91839902726556
AFITIT	methyl propyl ketone	75.05855096	72.67057932685188
AFITIT	4-hexen-2-one	80.23200245	78.34006093847708
AGARUW	ethane	28.72017291	28.738245272414822
AGARUW	hydrogen cyanide	29.14061861	29.814496487963822
AGARUW	propene	35.98654346	36.209245075476105
