MOF	molecule	K	K_predict
ABUWOJ	hydrogen cyanide	0.00014903100000000002	8.519155846411973e-05
ABUWOJ	ethene	0.000164476	0.00014010937018591518
ABUWOJ	ethane	0.000347291	0.0001978371417833006
ABUWOJ	acetonitrile	0.00191999	0.0027543918942231696
ABUWOJ	acetaldehyde	0.0022418000000000004	0.0035329774169845334
ABUWOJ	propene	0.00253675	0.002764015038515284
ABUWOJ	dimethyl ether	0.00252818	0.004850652180618107
ABUWOJ	ethylamine	0.0062408	0.005543291353745119
ABUWOJ	propionitrile	0.013547700000000001	0.018508835639405096
ABUWOJ	dimethylamine	0.00840334	0.005170362572206081
ABUWOJ	isobutane	0.00815502	0.011127181337425466
ABUWOJ	isopropyl alcohol	0.00842067	0.0075000330637676246
ABUWOJ	acetone	0.06548949999999999	0.09923431504479789
ABUWOJ	propyl alcohol	0.00328982	0.003363990198212042
ABUWOJ	methyl isopropyl ether	0.0456495	0.1319584248094263
ABUWOJ	methyl tert-butyl ether	0.00359822	0.007236714316966198
ABUWOJ	methyl propyl ether	0.216867	0.046084649823826235
ABUWOJ	2,3-dimethylbutane	0.00986305	0.03592986557718737
ABUWOJ	2-pentene	0.311835	0.1398671140221541
ABUWOJ	4,4-dimethyl-1-pentene	0.0232065	0.017635781745539873
ABUWOJ	3-methylpentane	0.196659	0.16605574528358036
ABUWOJ	methyl propyl ketone	0.158625	0.09751139453357653
ABUWOJ	4-methyl-1-hexene	0.8274790000000001	1.3047582037603844
ABUWOJ	1,5-heptadiene	22.6849	7.11691340721069
ABUWOJ	4-methyl-4-penten-2-one	11.579	11.923016212567866
ACOLIP	methane	1.1e-05	8.653384473824183e-06
ACOLIP	4,4-dimethyl-1-pentene	1.49e-10	4.950475402386739e-10
ACOLIP	neopentane	1.9e-09	6.289924976319813e-09
ACOLIP	ethene	6.82e-05	5.767234354051732e-05
ACOLIP	ethane	0.000117855	0.00014644939819844104
ACOLIP	methyl tert-butyl ether	7.79e-09	4.6128112479422683e-08
ACOLIP	hydrogen cyanide	0.000647435	0.001437684043971196
ACOLIP	propane	0.000559127	0.0007835808551392883
ACOLIP	dimethyl ether	0.00164069	0.0023923247377073105
ACOLIP	acetonitrile	0.0045019	0.0151285988351505
ACOLIP	isobutane	0.000257683	0.0001085007493371973
ACOLIP	acetaldehyde	0.00664116	0.014596292047024874
ACOLIP	2,3-dimethylbutane	6.88e-06	1.5995568432572752e-06
ACOLIP	propionitrile	0.0257649	0.03572053540518678
ACOLIP	ethylamine	0.00905141	0.01391928919459126
ACOLIP	methyl isopropyl ether	0.00175774	0.0021733188705186815
ACOLIP	isopentane	0.0004969919999999999	3.8205492516164046e-05
ACOLIP	dimethylamine	0.0179793	0.01521576644699206
ACOLIP	methyl propyl ether	0.00534204	0.002628874169177556
ACOLIP	acetone	0.08050349999999999	0.11352953350808255
ACOLIP	3-methylpentane	0.000139243	0.00010177846203397464
ACOLIP	2-pentene	0.00448179	0.0027020406425862105
ACOLIP	isopropyl alcohol	0.0568984	0.02761912076444334
ACOLIP	4-methyl-1-hexene	0.000153889	0.00012193286388454927
ACOLIP	methyl propyl ketone	0.00043456699999999996	0.0008100376149951229
ACOLIP	propyl alcohol	0.143214	0.01577926147649232
ACOLIP	4-methyl-4-penten-2-one	0.00872485	0.00968811129571153
AFITIT	methane	1.12e-05	1.2324900289425642e-05
AFITIT	ethene	0.0001099	8.721724907392238e-05
AFITIT	ethane	0.00026627599999999997	0.00023085274985644807
AFITIT	hydrogen cyanide	0.000262769	0.0004979246019900259
AFITIT	acetonitrile	0.0106603	0.020456209158242564
AFITIT	acetaldehyde	0.0104598	0.009668212373389225
AFITIT	dimethylamine	0.015201300000000001	0.016865457284702606
AFITIT	ethylamine	0.0193195	0.020792516120686864
AFITIT	isobutane	0.033014999999999996	0.02729850553202451
AFITIT	propionitrile	0.0901124	0.13737033649037939
AFITIT	neopentane	0.0727847	0.03172833403507755
AFITIT	methyl propyl ether	0.165117	0.13797903378669454
AFITIT	acetone	0.290195	0.31738862434984105
AFITIT	2-pentene	0.362958	0.2935191749586657
AFITIT	isopentane	0.254601	0.23997481878464866
AFITIT	isopropyl alcohol	0.0765591	0.07331059714980626
AFITIT	methyl isopropyl ether	0.49156400000000006	0.6652037729025738
AFITIT	propyl alcohol	0.026398599999999998	0.03613955337880637
AFITIT	2,3-dimethylbutane	0.6908770000000001	1.0521913580180093
AFITIT	methyl tert-butyl ether	0.801825	1.8958676366126557
AFITIT	4,4-dimethyl-1-pentene	2.97827	3.306012717185191
AFITIT	4-methyl-1-hexene	9.13912	6.362194506035109
AFITIT	methyl propyl ketone	0.8723989999999999	0.35359307457399863
AFITIT	4-hexen-2-one	134.99	28.99337977017757
AGARUW	ethane	0.000261021	0.00023240200977747474
AGARUW	hydrogen cyanide	0.000147108	0.00029768244442841195
AGARUW	propene	0.00251997	0.001499452987134543
AGARUW	acetonitrile	0.00657372	0.011228412182175776
AGARUW	acetaldehyde	0.00708678	0.010722243627287222
AGARUW	dimethyl ether	0.00570945	0.006428975343660496
AGARUW	dimethylamine	0.0239226	0.013475694890484882
AGARUW	isobutane	0.08808730000000001	0.0798032964795435
AGARUW	propionitrile	0.0659865	0.07190646653766468
AGARUW	ethylamine	0.0513767	0.03885681868522151
AGARUW	acetone	0.32810700000000004	0.35567331769997784
AGARUW	methyl propyl ether	0.407866	0.7961162533689566
AGARUW	2-pentene	0.9814209999999999	0.732401436440776
AGARUW	methyl isopropyl ether	1.7385	0.9685314768552253
AGARUW	2,3-dimethylbutane	11.152000000000001	9.679077536185657
AGARUW	propyl alcohol	1.6876799999999998	0.5972820372458318
AGARUW	methyl tert-butyl ether	7.97598	3.904498766982961
AGARUW	isopropyl alcohol	2.10495	2.245863102821326
AGARUW	4,4-dimethyl-1-pentene	38.9436	70.89417454622014
AGARUW	methyl propyl ketone	2.0594	6.938696326911743
AGARUW	1,5-heptadiene	214.49099999999999	149.3786155207781
AGARUW	4-methyl-1-hexene	156.974	202.52417689994516
AGARUW	4-hexen-2-one	621.193	889.3067422325679
AGARUW	4-methyl-4-penten-2-one	407.72900000000004	261.8040103599547
AHOKIR01	isopentane	5.69e-19	2.3500855804155983e-18
AHOKIR01	methyl isopropyl ether	5.11e-14	9.549441524375459e-14
AHOKIR01	methane	1.24e-07	1.4082233478188516e-07
AHOKIR01	methyl propyl ketone	1.36e-13	1.3236649178962008e-13
AHOKIR01	ethane	4.1100000000000004e-08	1.0839774614066652e-07
AHOKIR01	propane	1.26e-09	1.5682146591497572e-09
AHOKIR01	ethene	1.2e-07	1.1374550933523764e-07
AHOKIR01	propene	1.97e-08	2.4602024155121526e-08
AHOKIR01	acetone	3.45e-09	2.9109394648244187e-08
AHOKIR01	methyl propyl ether	7.22e-10	4.1902860485713644e-10
AHOKIR01	dimethylamine	1.0099999999999999e-07	4.629052276766788e-07
AHOKIR01	4-methyl-4-penten-2-one	1.97e-11	7.284037430548556e-12
AHOKIR01	1,5-heptadiene	2.7600000000000004e-11	2.4044257137553186e-11
AHOKIR01	acetonitrile	1.55e-05	2.3398899902647238e-05
AHOKIR01	dimethyl ether	1.34e-05	4.708141822909518e-06
AHOKIR01	hydrogen cyanide	0.00121309	0.00017209378896271705
AHOKIR01	propyl alcohol	2.12e-06	7.040831058904397e-07
AHOKIR01	ethylamine	0.000255007	4.827605060887504e-05
AMIKOX	ethane	2.1899999999999998e-13	2.525453664016067e-13
AMIKOX	acetaldehyde	2.3e-12	2.9915598109504735e-12
AMIKOX	ethene	2.75e-11	2.918403320529192e-11
AMIKOX	acetonitrile	2.8e-11	2.662768641404155e-11
AMIKOX	hydrogen cyanide	2.59e-07	2.1988767416022965e-07
AMILUE	methane	1.57e-05	2.3366953854197694e-05
AMILUE	hydrogen cyanide	0.00029529599999999996	0.0002972599502034799
AMILUE	ethane	0.000668176	0.0004406464343227954
AMILUE	neopentane	0.0053495	0.011841724270401493
AMILUE	dimethyl ether	0.00462728	0.004300530242426524
AMILUE	acetonitrile	0.010675299999999999	0.010249310125897687
AMILUE	acetaldehyde	0.00963885	0.010894232873229022
AMILUE	propane	0.00946997	0.005746766368644877
AMILUE	3-methylpentane	0.06169790000000001	0.08197801645903818
AMILUE	dimethylamine	0.020167700000000004	0.014183204766666508
AMILUE	methyl tert-butyl ether	0.0673247	0.06278965277827904
AMILUE	ethylamine	0.0289642	0.017155495867026836
AMILUE	propionitrile	0.08461489999999999	0.09189920349153198
AMILUE	4-methyl-1-hexene	0.20567800000000003	0.31294334511195404
AMILUE	isopentane	0.029838299999999998	0.04005765937671435
AMILUE	propyl alcohol	0.0200165	0.02881618699375035
AMILUE	isopropyl alcohol	0.0476595	0.0494761567540669
AMILUE	acetone	0.529163	0.2708782226902711
AMILUE	methyl propyl ether	0.16893	0.11831431028381084
AMILUE	methyl propyl ketone	0.179582	0.19342164367256073
AMILUE	4-methyl-4-penten-2-one	7.83995	14.124357804154846
AMILUE	1,5-heptadiene	28.1261	16.215485961638706
AMIMEP	methane	1.83e-05	3.175786719858738e-05
AMIMEP	ethene	0.000335112	0.0004581221259024944
AMIMEP	hydrogen cyanide	0.0006625839999999999	0.0018921767961791942
AMIMEP	ethane	0.0009397510000000001	0.0008928456844837753
AMIMEP	propene	0.00881078	0.007491845618610551
AMIMEP	2,3-dimethylbutane	0.0563899	0.24885211463436838
AMIMEP	neopentane	0.0113954	0.01949085293860835
AMIMEP	propane	0.0152486	0.017242362714448786
AMIMEP	dimethyl ether	0.0183537	0.013529388453265496
AMIMEP	acetonitrile	0.10513399999999999	0.07404291637243919
AMIMEP	acetaldehyde	0.06343700000000001	0.058270876747005984
AMIMEP	isobutane	0.0393006	0.08705410956400211
AMIMEP	methyl tert-butyl ether	0.1234	0.20448419054767886
AMIMEP	4,4-dimethyl-1-pentene	0.234727	0.4599631017811293
AMIMEP	ethylamine	0.165975	0.07376725971661843
AMIMEP	propionitrile	0.614789	0.7287176871775082
AMIMEP	methyl propyl ether	0.872445	0.6262668791372202
AMIMEP	2-pentene	0.824017	0.8033521831988799
AMIMEP	isopropyl alcohol	0.354961	0.3013685318619552
AMIMEP	propyl alcohol	0.0787479	0.23955721365776586
AMIMEP	3-methylpentane	0.327599	0.2522155377243349
AMIMEP	4-methyl-1-hexene	0.7411369999999999	1.5809330772896701
AMIMEP	methyl isopropyl ether	1.4716	0.7362501689837911
AMIMEP	1,5-heptadiene	237.877	117.35751082499715
AMIMEP	methyl propyl ketone	11.9582	1.9559525089186949
AMIMEP	4-methyl-4-penten-2-one	372.94599999999997	269.43115354956296
AMIMEP	4-hexen-2-one	2300.08	312.0333585105518
AMUCOB	acetone	4.63e-14	1.8439234740946884e-13
AMUCOB	4-hexen-2-one	1.82e-15	2.7884123790738476e-15
AMUCOB	methane	1.06e-06	8.279421422455875e-07
AMUCOB	ethylamine	3e-09	1.2859756786376012e-08
AMUCOB	propane	1.75e-08	1.9957942271178667e-08
AMUCOB	hydrogen cyanide	8.72e-06	4.443577387767831e-06
AMUCOB	ethene	1.84e-06	2.518351820159303e-06
AMUCOB	dimethylamine	1.1699999999999999e-07	7.183341058695861e-08
AMUCOB	ethane	1.99e-06	1.704113077839362e-06
AMUCOB	propyl alcohol	2.25e-09	2.3406130075617216e-09
AMUCOB	1,5-heptadiene	7.32e-11	5.969195807345917e-11
AMUCOB	propene	7.84e-07	8.816941815287467e-07
AMUCOB	2-pentene	3.78e-09	1.725143683912505e-09
AMUCOB	acetaldehyde	9.04e-06	4.695140901216811e-06
AMUCOB	propionitrile	4.71e-06	1.4621643379086869e-06
ANUGIA	methane	6.81e-06	4.214715136166493e-06
ANUGIA	ethene	2.6000000000000002e-05	2.2595951441858987e-05
ANUGIA	hydrogen cyanide	2.37e-05	1.8347290901308578e-05
ANUGIA	ethane	4.29e-05	3.9291064641467106e-05
ANUGIA	acetonitrile	0.000129278	0.00014812762159798658
ANUGIA	propene	0.00015822	0.00021398388294518412
ANUGIA	acetaldehyde	0.000143839	0.00018389997248247246
ANUGIA	propane	0.00023485799999999998	0.00022240927917343198
ANUGIA	dimethylamine	0.00031948	0.000362217905738669
ANUGIA	ethylamine	0.00030680700000000003	0.0004531358641690349
ANUGIA	propionitrile	0.00046797699999999995	0.0005305169248523344
ANUGIA	propyl alcohol	8.159999999999999e-05	8.822938239445319e-05
ANUGIA	isopropyl alcohol	0.000226541	0.00022060293148959393
ANUGIA	acetone	0.00157934	0.0020468543569309708
ANUGIA	methyl propyl ether	0.00293331	0.002893506187223511
ANUGIA	neopentane	0.0042543	0.00424641589002846
ANUGIA	2-pentene	0.00467675	0.005835307844821852
ANUGIA	isopentane	0.00669752	0.006538451082207136
ANUGIA	methyl tert-butyl ether	0.0115376	0.014475927983365054
ANUGIA	2,3-dimethylbutane	0.0378223	0.030481406449936473
