feature,feature importance
PLD,0.0051276229282054935
LCD,0.036418590421644886
VF,0.004164253353976575
-inf ~ -2600.0,0.018869529479083
-2600.0 ~ -2500.0,0.0002757526051850964
-2500.0 ~ -2400.0,0.002640390011183295
-2400.0 ~ -2300.0,0.0029914822039657286
-2300.0 ~ -2200.0,0.021759676600619608
-2200.0 ~ -2100.0,0.01458567039971513
-2100.0 ~ -2000.0,0.006479279241476224
-2000.0 ~ -1900.0,0.027609821464068353
-1900.0 ~ -1800.0,0.007133137886348431
-1800.0 ~ -1700.0,0.01813669189728318
-1700.0 ~ -1600.0,0.07414526924383058
-1600.0 ~ -1500.0,0.013620458676095131
-1500.0 ~ -1400.0,0.04115670874435906
-1400.0 ~ -1300.0,0.004025132649754699
-1300.0 ~ -1200.0,0.002506490071136135
-1200.0 ~ -1100.0,0.0024971375477291415
-1100.0 ~ -1000.0,0.0011072227920224844
-1000.0 ~ -900.0,0.0011176934725310782
-900.0 ~ -800.0,0.00172076966889979
-800.0 ~ -700.0,0.0007105428965297631
-700.0 ~ -600.0,0.0007821412012546939
-600.0 ~ -500.0,0.0006267051976536842
-500.0 ~ -400.0,0.0007261242568206142
-400.0 ~ -300.0,0.0005946257659798388
-300.0 ~ -200.0,0.0007179937067633608
-200.0 ~ -100.0,0.0005849185918299726
-100.0 ~ 0.0,0.0011555513654880987
0.0 ~ inf,0.24111813281347533
e2,0.0025099911089968736
e2.5,0.003651331988520971
e3,0.0010076060568196775
e3.5,0.0009570502597630614
e4,0.002541946750485822
e4.5,0.0010417217048252693
e5,0.002646268854830599
e5.5,0.0013652117587840803
e6,0.0018138871944782945
e6.5,0.0009700416031783821
e7,0.00022214447806703457
e7.5,0.00019416410164542112
e8,0.0013081710947072138
e8.5,0.00015447039346267935
e9,0.00021334366408355123
e9.5,0.00040700459891904715
e10,0.00029126810320283117
p2,0.005801083882065141
p2.5,0.007042961856972726
p3,0.0006041519118923778
p3.5,0.0006782092975576102
p4,0.0005141118633939288
p4.5,0.005987271351609515
p5,0.0009365557295935897
p5.5,0.0013977430703814133
p6,0.001610103673095915
p6.5,0.0006325437562542652
p7,0.0017602085268739003
p7.5,0.0015278440502132335
p8,0.0009135438147988718
p8.5,0.0002248188399132747
p9,0.0013164610289076691
p9.5,0.00040849256576710547
p10,0.001028999931687282
v2,0.0010351991443922598
v2.5,0.006540578453094634
v3,0.00037432605118169356
v3.5,0.0010406145132252846
v4,0.0009983300468160243
v4.5,0.0027475224859596077
v5,0.002970118518168918
v5.5,0.0024077310711896876
v6,0.002320286793849476
v6.5,0.001988962161233567
v7,0.0008761475025497021
v7.5,0.00031952276724309087
v8,0.0003462048228103574
v8.5,0.0005268334957449699
v9,0.0008650299460170474
v9.5,0.0001890861600686682
v10,0.0004830561569561113
m2,0.0009362240833362419
m2.5,0.0031839410888383508
m3,0.0017520211893277194
m3.5,0.0017778140961637406
m4,0.001148856365906037
m4.5,0.0005107531709772344
m5,0.0010721144439220574
m5.5,0.001061443575959105
m6,0.002023336274722973
m6.5,0.0017801791993760571
m7,0.0013556127625231995
m7.5,0.0010244335712842002
m8,0.00015886458600754743
m8.5,0.00029937186952335717
m9,0.0013147849553775614
m9.5,0.0021231839143208493
m10,0.0011011236308902305
nC,0.030020222891878473
nO,0.00034678644377223464
nN,7.663971615960893e-05
n2,0.03208164224824308
n3,7.283051953555982e-05
nAT-H,0.024070025677020355
nTB,0.01862931063189543
nSB,0.003912037874590258
nAlkylC,0.02157833364737367
nVinylC,0.00043307795448178655
nCarbonyl1,1.369617346737121e-07
nCarbonyl2,0.000160525515306272
nCarbonylC,0.0015073552509206865
nAldehyde,7.233449571716494e-05
nKetone,0.0010266983488511836
nEther,0.0
nAmine12,1.3949328677541055e-05
nAmine1,1.696945946626075e-05
nNitrile,0.00011492898325356099
nOH,3.586185345810707e-05
nOHAlcohol,5.818963368380125e-05
nN#,9.676128631825325e-05
n-O-,2.765417229235044e-05
F01[H-C],0.014782343442372087
F01[H-N],5.319167642977863e-05
F01[H-O],7.88172604459246e-05
F01[C-N],0.0012826607913609205
F01[C-O],0.0004704109792094829
F02[H-C],0.008029657744170096
F02[H-N],0.00013999227599019565
F02[H-O],0.0007924308897783083
F02[C-N],0.00046404212324427553
F02[C-O],0.002206741410220235
Tc,0.12048680755625453
Pc,0.027369766700781253
w,0.032051009365497624
