molecule	r2
ethylamine	0.9876672943805976
4-methyl-1-hexene	0.9950265145059888
isopentane	0.9701023091398907
4-methyl-4-penten-2-one	0.9945901038785538
acetaldehyde	0.9810642741340507
dimethyl ether	0.9779176358844253
dimethylamine	0.9898732085144606
propionitrile	0.9797212968358523
propyl alcohol	0.9803102657382802
ethane	0.9812571162062426
propene	0.9906922452822646
hydrogen cyanide	0.9734525209198331
propane	0.9856731385370171
acetonitrile	0.9835107607828418
methyl propyl ether	0.9522874898186777
methyl isopropyl ether	0.98034686325967
acetone	0.9834444812387655
isopropyl alcohol	0.98909672398747
1,5-heptadiene	0.9938679025537243
ethene	0.9910620571500746
3-methylpentane	0.993839472452207
methane	0.9493740069853048
neopentane	0.9510363915662607
4,4-dimethyl-1-pentene	0.9804800118374365
methyl propyl ketone	0.986629675208679
2-pentene	0.978173296412051
methyl tert-butyl ether	0.9891927194168084
2,3-dimethylbutane	0.9831361269012089
isobutane	0.9723872593064712
4-hexen-2-one	0.9923901892652992
