mol1	mol2	spearman
propene	propane	0.7048169412344762
acetonitrile	isopropyl alcohol	0.964291518645826
propyl alcohol	methyl propyl ketone	0.9814835117278786
dimethylamine	acetaldehyde	0.9456190454647325
acetaldehyde	ethylamine	0.943423086686961
1,5-heptadiene	propionitrile	0.9909727315534881
dimethylamine	ethylamine	0.8166909907601223
methyl propyl ether	2-pentene	0.6725144809481067
neopentane	methyl isopropyl ether	0.9673826945833032
4-methyl-1-hexene	4,4-dimethyl-1-pentene	0.9182402033033988
