MOF	molecule	K	K_predict
ABUWOJ	hydrogen cyanide	0.00014903100000000002	8.519155846411869e-05
ABUWOJ	ethene	0.000164476	0.0001401093701859159
ABUWOJ	ethane	0.000347291	0.00019783714178330078
ABUWOJ	acetonitrile	0.00191999	0.002754391894223178
ABUWOJ	acetaldehyde	0.0022418000000000004	0.003532977416984544
ABUWOJ	propene	0.00253675	0.002764015038515276
ABUWOJ	dimethyl ether	0.00252818	0.004850652180618107
ABUWOJ	ethylamine	0.0062408	0.005543291353745147
ABUWOJ	propionitrile	0.013547700000000001	0.018508835639405172
ABUWOJ	dimethylamine	0.00840334	0.005170362572206086
ABUWOJ	isobutane	0.00815502	0.011127181337425488
ABUWOJ	isopropyl alcohol	0.00842067	0.00750003306376764
ABUWOJ	acetone	0.06548949999999999	0.0992343150447981
ABUWOJ	propyl alcohol	0.00328982	0.0033639901982120456
ABUWOJ	methyl isopropyl ether	0.0456495	0.13195842480942563
ABUWOJ	methyl tert-butyl ether	0.00359822	0.007236714316966206
ABUWOJ	methyl propyl ether	0.216867	0.0460846498238264
ABUWOJ	2,3-dimethylbutane	0.00986305	0.03592986557718755
ABUWOJ	2-pentene	0.311835	0.13986711402215374
ABUWOJ	4,4-dimethyl-1-pentene	0.0232065	0.01763578174553991
ABUWOJ	3-methylpentane	0.196659	0.16605574528358003
ABUWOJ	methyl propyl ketone	0.158625	0.09751139453357693
ABUWOJ	4-methyl-1-hexene	0.8274790000000001	1.3047582037603858
ABUWOJ	1,5-heptadiene	22.6849	7.116913407210659
ABUWOJ	4-methyl-4-penten-2-one	11.579	11.923016212567946
ACOLIP	methane	1.1e-05	8.653384473824307e-06
ACOLIP	4,4-dimethyl-1-pentene	1.49e-10	4.950475402386719e-10
ACOLIP	neopentane	1.9e-09	6.2899249763197105e-09
ACOLIP	ethene	6.82e-05	5.767234354051791e-05
ACOLIP	ethane	0.000117855	0.00014644939819844044
ACOLIP	methyl tert-butyl ether	7.79e-09	4.612811247942363e-08
ACOLIP	hydrogen cyanide	0.000647435	0.0014376840439711872
ACOLIP	propane	0.000559127	0.0007835808551392852
ACOLIP	dimethyl ether	0.00164069	0.002392324737707296
ACOLIP	acetonitrile	0.0045019	0.015128598835150438
ACOLIP	isobutane	0.000257683	0.00010850074933719674
ACOLIP	acetaldehyde	0.00664116	0.01459629204702488
ACOLIP	2,3-dimethylbutane	6.88e-06	1.5995568432573014e-06
ACOLIP	propionitrile	0.0257649	0.03572053540518681
ACOLIP	ethylamine	0.00905141	0.013919289194591287
ACOLIP	methyl isopropyl ether	0.00175774	0.0021733188705186745
ACOLIP	isopentane	0.0004969919999999999	3.8205492516164595e-05
ACOLIP	dimethylamine	0.0179793	0.015215766446992098
ACOLIP	methyl propyl ether	0.00534204	0.002628874169177537
ACOLIP	acetone	0.08050349999999999	0.11352953350808245
ACOLIP	3-methylpentane	0.000139243	0.0001017784620339761
ACOLIP	2-pentene	0.00448179	0.0027020406425861997
ACOLIP	isopropyl alcohol	0.0568984	0.027619120764443197
ACOLIP	4-methyl-1-hexene	0.000153889	0.00012193286388455102
ACOLIP	methyl propyl ketone	0.00043456699999999996	0.0008100376149951245
ACOLIP	propyl alcohol	0.143214	0.015779261476492192
ACOLIP	4-methyl-4-penten-2-one	0.00872485	0.009688111295711468
AFITIT	methane	1.12e-05	1.2324900289425792e-05
AFITIT	ethene	0.0001099	8.721724907392148e-05
AFITIT	ethane	0.00026627599999999997	0.00023085274985644688
AFITIT	hydrogen cyanide	0.000262769	0.0004979246019900239
AFITIT	acetonitrile	0.0106603	0.020456209158242575
AFITIT	acetaldehyde	0.0104598	0.009668212373389244
AFITIT	dimethylamine	0.015201300000000001	0.016865457284702595
AFITIT	ethylamine	0.0193195	0.020792516120686833
