ID	Material	CF	a/A	b/A	c/A	alpha	beta	gamma	Vol/A3	nAT!H	
1	ABUWOJ_clean_min_charges	H_7_C_12_O_7_Zn_2	14.565	18.856	15.855	89.602	89.996	90.114	4354.2656	168
2	ACOLIP_clean_min_charges	H_19_C_22_N_5_O_4_Zn_1	23.442	23.974	14.059	112.345	89.896	118.644	6253.029	256
3	AFITIT_clean_min_charges	H_16_C_23_N_1_O_4_Zn_1	14.056	17.915	17.917	100.312	91.959	91.889	4432.762	174
4	AGARUW_clean_min_charges	H_4_C_11_N_4_O_11_La_2	17.302	15.345	17.421	90.0	90.0	89.999	4625.2617	224
5	AHOKIR01_clean_min_charges	H_4_C_2_O_3_P_1_Cu_1	8.578	13.866	21.033	109.128	92.71	89.975	2360.6523	112
6	AMIKOX_clean_min_charges	H_80_C_96_N_16_Cl_8_Cd_3	18.3	17.826	15.734	90.0	90.0	90.0	5132.679	246
7	AMILUE_clean_min_charges	H_12_C_15_N_2_O_4_Zn_1	12.365	20.163	20.18	102.302	94.912	94.696	4871.6387	176
8	AMIMEP_clean_min_charges	H_12_C_15_N_2_O_4_Zn_1	12.396	20.153	20.225	102.717	94.698	94.474	4888.014	176
9	AMUCOB_clean_min_charges	H_6_C_5_O_4_Ca_1	17.5	12.598	12.597	65.353	76.63	103.32	2281.8767	120
10	ANUGIA_clean_min_charges	H_7_C_14_O_4_Cu_1	17.739	17.719	17.713	96.741	96.796	96.639	5442.6157	114
11	APEBED_clean_min_charges	H_2_C_6_O_4_S_1_Zn_1	20.018	13.154	15.547	89.998	89.946	89.972	4093.7837	192
12	AROFET_clean_min_charges	H_24_C_33_O_12_Cd_2	10.816	15.94	18.497	114.393	107.119	93.922	2708.7505	94
13	ATOXEN_clean_min_charges	H_10_C_14_N_1_O_4_Zn_1	21.85	21.892	13.972	95.2	99.23	99.89	6450.625	320
14	AVAQIX_clean_min_charges	H_8_C_12_N_2_O_4_Cd_1	12.772	15.1	19.445	90.08	90.028	89.993	3750.1042	152
15	AVEMOE_clean_min_charges	H_12_C_6_N_3_O_1_P_1_Ag_2	14.647	20.817	16.596	89.997	90.006	90.004	5060.23	208
16	AVIMOI_clean_min_charges	H_9_C_15_O_5_Zn_1	18.626	14.536	27.649	89.935	89.867	92.543	7478.5005	336
