Element	electronegativity	polarizability	vdWVolume	Mass
H	0.846153846	0.398230088	0.351719927	0.084
Li	0.384615385	14.51327434	2.167311215	0.584666667
Be	0.576923077	3.336283186	1.396092001	0.751
B	0.769230769	1.814159292	1.187054753	0.917416667
C	1	1	1	1
N	1.173076923	0.654867257	0.833706493	1.166916667
O	1.346153846	0.469026549	0.757963566	1.332916667
F	1.5	0.330973451	0.686952982	1.583166667
Na	0.346153846	14.42477876	2.813759414	1.915833333
Mg	0.461538462	6.300884956	2.167311215	1.99875
Al	0.576923077	5.115044248	1.884998982	2.2485
Si	0.730769231	3.300884956	1.884998982	2.331416667
P	0.826923077	2.212389381	1.509235701	2.581166667
S	1	1.716814159	1.187054753	2.664333333
Cl	1.211538462	1.292035398	1.187054753	2.914083333
K	0.307692308	25.66371681	4.468145736	3.247
Ca	0.384615385	14.24778761	2.813759414	3.33025
Sc	0.5	8.584070796	2.476490942	3.746333333
Ti	0.576923077	8.849557522	2.02287299	3.998
V	0.615384615	7.699115044	1.753536536	4.245333333
Cr	0.615384615	7.345132743	1.753536536	4.328416667
Mn	0.576923077	6.017699115	1.753536536	4.578166667
Fe	0.692307692	5.486725664	1.753536536	4.66125
Co	0.692307692	4.867256637	1.628332994	4.911083333
Ni	0.692307692	4.336283186	1.628332994	4.827916667
Cu	0.730769231	4.159292035	1.628332994	5.244166667
Zn	0.615384615	3.424778761	1.884998982	5.327416667
Ga	0.615384615	4.424778761	1.884998982	5.743833333
Ge	0.730769231	3.539823009	1.884998982	6.160166667
As	0.769230769	2.654867257	1.753536536	6.2435
Se	0.942307692	2.566371681	1.396092001	6.65975
Br	1.096153846	1.85840708	1.396092001	6.5765
Rb	0.307692308	28.31858407	4.964176674	7.076
Sr	0.384615385	17.43362832	3.375	7.3255
Y	0.5	14.33628319	2.813759414	7.40875
Zr	0.615384615	9.911504425	2.476490942	7.492
Nb	0.615384615	8.672566372	2.02287299	7.742166667
Mo	0.692307692	7.699115044	1.884998982	8.158833333
Tc	0.730769231	6.991150442	1.753536536	8.242166667
Ru	0.846153846	6.371681416	1.753536536	8.492
Rh	0.846153846	5.840707965	1.628332994	8.575416667
Pd	0.846153846	2.309734513	1.753536536	8.82525
Ag	0.730769231	4.867256637	1.884998982	8.90875
Cd	0.653846154	4.07079646	2.167311215	9.492
In	0.653846154	5.752212389	2.167311215	9.575333333
Sn	0.692307692	4.690265487	2.318466314	9.825166667
Sb	0.788461538	3.805309735	2.167311215	10.07533333
Te	0.884615385	3.362831858	1.884998982	10.82558333
I	1.019230769	2.911504425	1.884998982	10.575
Cs	0.269230769	35.48672566	5.495623855	11.15875
Ba	0.346153846	24.07079646	4.00630979	11.49208333
La	0.423076923	19.02654867	3.180337879	11.5755
Hf	0.5	9.115044248	2.318466314	14.99558333
Ta	0.5	6.548672566	2.167311215	15.079
W	0.653846154	6.017699115	1.884998982	15.32925
Re	0.730769231	5.486725664	1.753536536	15.57966667
Os	0.846153846	5.044247788	1.628332994	15.99166667
Ir	0.846153846	4.778761062	1.628332994	16.08025
Pt	0.923076923	4.247787611	1.753536536	16.24708333
Au	0.730769231	3.185840708	1.884998982	16.41391667
Hg	0.692307692	3	1.753536536	16.83091667
Tl	0.692307692	4.424778761	2.167311215	17.08125
Pb	0.730769231	4.159292035	2.476490942	17.33141667
Bi	0.769230769	4.247787611	2.476490942	17.415
Po	0.846153846	3.89380531	0	17.41666667
At	0	3.716814159	0	17.5
